signal_day,entry_day,exit_day,entry,exit,ret,fold
2026-01-08,2026-01-09,2026-02-10,259.33,273.79,0.05555907145336068,1
2025-03-13,2025-03-14,2025-04-15,213.38,202.13,-0.05292284187833909,2
2023-08-18,2023-08-21,2023-09-21,175.8,173.93,-0.01083708759954496,3
2024-01-08,2024-01-09,2024-02-09,185.13,188.83,0.01978595581483298,3
2024-03-05,2024-03-06,2024-04-05,169.12,169.6,0.002638221381267658,3
